unix_ms,total_used_mib,total_free_mib,utilization_pct
1784715775929,9710,14329,0
1784715776225,9710,14329,0
1784715776488,9710,14329,0
1784715776731,9710,14329,0
1784715776976,9710,14329,0
1784715777221,9710,14329,0
1784715777466,9710,14329,0
1784715777710,9710,14329,0
1784715777954,9710,14329,0
1784715778199,9710,14329,0
1784715778442,9710,14329,0
1784715778686,9710,14329,0
1784715778929,9710,14329,0
1784715779173,9710,14329,0
1784715779418,9710,14329,0
1784715779661,9710,14329,0
1784715779905,9710,14329,0
1784715780148,9710,14329,0
1784715780392,9710,14329,0
1784715780637,9710,14329,0
1784715780881,9710,14329,0
1784715781124,9710,14329,0
1784715781366,9710,14329,0
1784715781607,9710,14329,0
1784715781852,9710,14329,0
1784715782095,9710,14329,0
1784715782338,9710,14329,0
1784715782583,9710,14329,0
1784715782826,9710,14329,0
1784715783071,9710,14329,0
1784715783313,9710,14329,0
1784715783557,9710,14329,0
1784715783800,9710,14329,0
1784715784056,9710,14329,0
1784715784293,9727,14312,0
1784715784528,10013,14026,5
1784715784762,10013,14026,0
1784715785009,10165,13874,3
1784715785246,10165,13874,4
1784715785485,10165,13874,0
1784715785721,10165,13874,0
1784715785955,10165,13874,0
1784715786190,10493,13546,0
1784715786424,11365,12674,31
1784715786662,11403,12636,26
1784715786898,11435,12604,1
1784715787134,11439,12600,1
1784715787373,11471,12568,4
1784715787627,11493,12546,5
1784715787865,11525,12514,6
1784715788102,11565,12474,5
1784715788337,11565,12474,1
1784715788575,11607,12432,1
1784715788812,11613,12426,4
1784715789047,11613,12426,10
1784715789284,11613,12426,0
1784715789517,11613,12426,0
1784715789752,11613,12426,0
1784715789983,11613,12426,0
1784715790218,11613,12426,0
1784715790448,11613,12426,0
1784715790681,11613,12426,0
1784715790912,11613,12426,0
1784715791142,11613,12426,0
1784715791372,11613,12426,0
1784715791601,11613,12426,0
1784715791838,11613,12426,0
1784715792071,11613,12426,0
1784715792302,11613,12426,0
1784715792532,11613,12426,0
1784715792764,11613,12426,0
1784715792994,11613,12426,0
1784715793226,11613,12426,0
1784715793460,11613,12426,27
1784715793692,11613,12426,43
1784715793924,11613,12426,43
1784715794158,11613,12426,44
1784715794390,11613,12426,43
1784715794621,11613,12426,42
1784715794857,11613,12426,31
1784715795088,11613,12426,0
1784715795319,11613,12426,0
1784715795553,11577,12462,0
1784715795787,11577,12462,0
